e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,integer,log_integer
4,2,4,0,3,1,1,1,1,0,0,0,3,3,2,4,0,2,3,3,0,2,3,3,4,2,2,1,1,1,2,3,0,1,2,3,0,0,2,3,0,0,4,0,1,2,2,4,1,0,202949362420408841170438414969813430859934972960199453170878517769217520156624070041601955832315578284580437299989916174958854117609965212600693254770000,350.70072045082685
0,3,3,1,2,2,4,4,0,3,3,3,4,0,0,1,2,2,3,1,2,4,1,1,4,0,3,1,4,1,0,2,0,0,2,1,1,0,4,0,1,4,3,1,3,2,0,1,2,2,672047099468468039458934481128164653052546643378369570386465356785994144978137415119695741463971277433263468478852525003702632284621615081038926356958659764097125,372.62135821261506
1,2,2,4,3,0,1,1,2,0,2,0,0,4,0,1,2,3,1,2,1,0,3,3,2,2,1,0,1,3,2,4,3,1,0,0,2,1,2,1,1,4,2,2,1,4,1,3,3,4,104373512511200138221315599661870197509369889775335490509222213041533916153031627026069605998449126912712208228954346230998383386675383622704090956574185230739409150,377.6667609967152
4,3,3,0,2,2,3,1,1,0,0,3,2,3,0,1,0,2,2,4,2,3,2,3,2,4,3,4,1,4,2,1,4,3,2,0,4,1,0,3,2,1,3,2,0,0,1,3,1,3,2508945455095671024269001071572968495970609436362940962782784176156872181413405916437882633319677905372289697614990669284048833524397935758228831511411095921265296199502026495886000,415.3851792663774
4,3,2,0,2,1,2,3,2,1,0,2,4,4,3,2,1,1,3,2,0,4,4,2,3,3,1,2,3,3,3,0,4,1,1,0,1,0,1,1,0,3,2,1,3,1,1,3,2,3,2056690245738115566570775163297089981352584816309433867024617059804422609985648406658288000456377028778154643741763604966329033728342405613057508240721873614805478185179784400,401.3709041948499
3,0,2,1,2,0,3,0,1,0,2,4,0,3,4,3,2,4,1,4,2,3,3,4,1,0,4,2,1,0,1,0,1,3,1,3,4,1,2,0,0,4,3,0,2,3,4,1,0,0,14046106759239786692104675599085269959529488498520581007783272077712266903547504411069720006095755767618246317105076437128788084761446212927002634445214236161128737335800,389.4766408813939
3,1,2,3,1,3,4,0,4,1,0,2,3,3,3,4,4,3,2,2,4,4,0,1,1,1,4,4,1,1,2,2,1,2,3,4,2,0,0,0,2,4,2,3,1,3,2,0,3,3,614562152093181880791419155592089570295009045484179639923865109627847760747040172625117233881293964184100428443752497998828998316194964339492385207422185624332660157299253974803883001184967193400,448.51724792129215
4,4,3,4,0,2,3,2,2,0,1,1,4,1,2,0,2,0,1,4,0,4,3,4,4,1,3,4,4,1,1,4,3,3,3,3,3,0,1,3,2,2,1,2,0,2,2,1,2,1,1095553687661219878993506657603793924369688075306019486199587375310878420017288556732141080120196601230566331433455678550379879918443916066707423018947426480808445039276916730811555757774000,435.279842462177
0,0,1,0,3,0,3,3,2,0,2,1,0,3,0,4,4,3,3,1,4,3,4,1,4,2,1,3,3,2,0,0,3,3,3,4,0,3,0,3,0,4,2,0,1,1,2,3,1,2,41610770268870351528783820383515394489030454982646370250503973443635364296321236057147348248038108821173907322543699246763805310938070867824485716486457648117856705231544463089467555,418.19367577338045
0,4,1,0,3,2,0,2,1,2,1,0,3,3,2,0,1,3,0,2,4,3,0,0,3,0,3,3,4,4,0,1,1,1,2,4,1,4,2,1,4,0,1,2,3,1,2,1,4,2,1500604358232445961385171886199091080684098062893918274307522344721302210900601219400392179552350334266273762212782706665135315520555771321229243839142160980783806306503795,394.14791883443365
4,1,4,2,4,1,0,4,4,2,1,1,0,2,4,0,3,1,4,3,1,4,1,3,1,2,2,1,1,3,0,0,2,2,2,1,2,3,1,2,4,3,0,3,4,1,4,0,0,0,3977200873735099713115189713130225609022918439993249060952079153769808817660406475307365099830967013077158124213154264094808289645485457091291349168979751793816206227130000,395.12262917579153
2,4,1,1,0,2,1,3,4,3,0,3,3,0,2,2,2,2,0,2,0,0,3,2,4,4,1,1,2,4,2,4,4,2,2,0,1,0,1,2,2,4,4,0,1,1,4,2,1,4,119492247933086158140627120658853613898121908682674911499760478228784834036015712321647666528398808205671736834209252202495751222204003108575874295032684806207545430804707503599044020,419.24856823734274
4,1,4,2,2,0,0,2,3,3,1,4,4,4,2,2,4,2,0,0,2,0,1,3,1,2,4,0,4,2,1,2,3,0,2,0,1,3,4,4,4,1,4,1,3,4,1,4,2,4,467069853402085501476272385677243279733623269304257695042306718250903924449939478605775543794540333811527143327984305791377229642698301078842792251103723284128832492117078961218398753133787840664570710000,468.9660825173057
0,3,0,2,0,1,1,3,1,3,0,1,3,0,1,1,3,2,3,1,3,3,1,1,2,4,3,0,0,4,3,3,3,0,0,0,2,1,3,1,0,4,1,1,2,0,2,2,1,0,852588946699987700508380872737753296796094107432392015769592511898866372778042679995451300730081240517789665117811185183637005267231884940939684661,338.3205309311626
1,3,0,0,1,3,0,4,2,0,2,4,3,3,3,2,2,4,0,1,4,2,4,1,0,0,0,3,2,2,2,1,0,2,0,1,3,4,1,1,3,3,1,3,2,3,2,1,3,2,5216958434134032699778488926861977094310786897052745532623916731069321446109450371585212234417917430571284529829549162247549086434848663018664612221224518068414944132884301466,402.30172073758393
0,4,2,3,0,0,0,0,0,2,2,1,4,3,4,4,4,1,1,0,4,3,1,3,4,0,3,0,3,3,1,1,3,3,2,4,1,2,2,0,0,2,4,1,2,4,4,1,2,3,28475914808340979455536737535976756789895172151589958862671602287090353618770978839276460477748968643857211986780468721701177831967018480820079050857172092510257725444998642522543540940815025,438.5376412114114
2,2,3,4,1,3,0,3,0,3,1,0,0,4,0,4,4,4,1,4,0,3,3,4,2,3,0,2,3,4,1,3,4,1,2,4,2,1,3,4,3,2,3,3,1,1,1,0,4,2,126818012479433497431421436399120394805956035786036689870231506071833051295852648612228196658972822596601723280166958384508726946231220350803617257002762905654404517114064641206921683894969000482227000379500,474.5701120569539
4,3,0,0,1,2,4,3,2,3,3,1,4,4,4,2,3,3,0,4,2,0,3,0,1,0,3,1,2,0,2,2,2,2,3,2,0,4,0,2,0,2,4,1,2,4,0,0,1,0,7835780560978382529177478859551217443161180680724728299957919376390254876178553655890304755379434063774028275823094751920058229350383673094524899364049271454217888304,381.9852408397489
3,1,1,0,4,0,0,0,0,1,1,0,1,2,1,2,2,3,1,4,1,0,2,4,1,4,3,2,4,0,0,3,2,2,4,0,0,4,2,1,2,1,2,2,3,2,3,0,1,2,4367565817068553860568260519537793363220527515900608964126576807898751028510129672516883346405221393514383085336764886351630727397228107637694734964240119965480,367.585235618701
3,0,3,0,4,2,2,4,0,0,2,3,3,0,4,0,0,1,0,2,2,0,2,0,1,2,4,1,4,2,0,1,0,2,3,2,1,1,0,4,3,1,1,3,3,1,3,4,0,4,224278920885256124150446850349388577168816470294295824080631695436531999406742690922947149937529095712540166162206340408401106309683978530759237555084636653147000,371.523920245835
4,1,0,0,0,3,4,4,4,2,1,3,4,0,2,3,0,3,2,4,1,1,0,3,3,1,3,4,1,2,2,0,3,4,3,3,2,4,3,4,3,4,3,1,0,1,4,3,2,2,955049920927076033952534502384107304120393597874685047464908496352136430753890488548881507935186482779108883615602453261171558623868656208464853491873481797195600890860810768803413905809853148611604433232085136592,490.4046331410862
1,2,1,0,0,1,1,1,3,0,3,1,4,3,4,0,2,2,2,2,3,4,1,0,0,4,4,3,2,1,0,4,3,2,0,3,2,3,1,2,0,1,4,1,0,1,4,4,1,3,131091717152768133097210200069224867155956323257863239756908002597350001857617564062525471022367488243744465521237839183260526230422198165454071765592034757831901657442609765847510,412.4334586691071
4,1,4,3,2,0,3,4,2,2,0,4,2,4,3,0,4,4,1,3,1,4,2,3,3,4,2,4,2,0,2,1,0,2,0,4,3,4,4,3,2,1,0,1,4,2,0,4,4,3,42497710473268237762953932948891731561216327347029160553346784063500973818760317197650060416728351608357611488869661142351818305302218321832774039065053507349755635365955149968228212369470206251916750746351790690000,494.20007501099377
3,0,1,4,0,1,0,1,4,1,1,2,4,4,3,3,3,3,0,2,3,1,3,2,3,1,4,4,1,0,4,1,0,4,2,0,4,2,1,1,1,3,0,4,4,3,3,0,1,0,29043099489797549053212827804933779350702053882002584066824766804963474557116114817305625117107033048739573296474429830446661369525252580944174715229033674872276532978951950518583486920,424.7418529339139
4,0,1,1,2,0,0,3,3,3,1,4,2,1,3,4,0,0,4,0,2,3,3,0,3,2,2,2,2,2,4,2,2,2,3,2,3,4,4,3,0,1,3,4,0,0,2,4,4,0,1693456385937346076865212276887769973508611029859910803434004847776992313554981123704930101213954976427692879775715778207088528202500622197608967964333259572051934308347987288331166747967089766320,449.53086477298154
2,0,1,4,2,0,2,1,0,4,1,4,3,1,0,3,4,1,4,2,4,4,0,3,2,4,3,0,3,2,0,4,4,4,4,4,3,1,2,3,0,4,2,1,3,3,2,3,2,3,75342332314041796365158310137962003981113037894028475041088719805526657720500504503526463942317858738560343010260789516535079389954315934039226325668488344316398177214221326657248347209828360021191492523700024464244231660,508.58817752466206
0,1,2,0,1,2,2,1,3,3,3,2,4,4,2,4,4,2,3,0,2,3,2,0,3,1,4,3,1,0,0,2,3,2,1,0,4,1,1,1,4,3,0,4,2,0,2,0,1,0,638814016143005522467683582515119372692102664735500167541586492546663138702755007177062484993540550766268208993016056601023927814346995486056861971514532764936187216301275,393.2939089804633
4,2,2,0,0,0,4,4,0,3,4,2,1,0,3,3,3,4,4,4,2,0,2,3,4,0,1,0,4,1,3,1,4,2,1,3,2,0,0,0,3,2,4,4,4,4,1,2,1,4,520328025172623266524913978049531651444217880064019324446080803452821755451502614493404990413630651453554708776076325067073130322940753445122306885751334684800577672352982791157000928810525797989116400,462.16630784315436
4,4,4,2,0,0,0,3,4,4,3,4,1,0,1,2,3,4,4,4,4,0,3,1,3,3,1,4,3,4,0,0,0,1,4,0,0,3,0,1,3,1,3,3,3,0,1,2,0,0,19670194216511988256790112800765102039721995910703964363862699085716089346326364462250774418158705837740208955956476278823977055844122652861071393160626704197721534547271590000,403.6289106870585
2,1,4,3,2,1,0,3,0,1,0,2,1,0,4,1,2,4,3,1,2,1,3,0,4,4,4,0,2,4,4,1,4,0,4,1,2,4,1,1,0,1,3,0,3,4,1,2,2,0,21351832060950191291810692568938724912575627467848205613895007369055437174302063243437754779234487460059787191267738963582870687611636471948275831557554930726361682913831722682500,410.6186990067565
1,3,1,4,1,1,4,1,2,2,1,0,3,0,1,0,2,2,0,1,4,2,0,4,3,4,0,0,2,2,3,2,1,4,0,4,3,0,4,0,2,0,0,4,3,0,2,2,0,4,5637661630934090842863510440100560999351527193791352939890608437483664749247438947208569282323351609884003867965912917153977149914242518399922777641247669186306390,374.74825444012885
0,2,4,2,0,2,4,0,2,1,1,0,3,0,1,4,0,3,0,2,2,0,2,3,4,0,1,0,2,1,4,4,0,1,4,3,3,2,0,1,4,1,1,4,0,0,4,3,0,0,5965018013769268454527198144138991765083978273467051151123940968696095009032298758033385498112022343025990249504779264670957820685181980313991461707635649375,360.98918658252745
1,2,1,4,3,4,0,1,0,1,0,2,2,0,2,1,2,3,2,1,1,3,4,4,3,2,3,3,1,1,3,1,2,3,2,3,4,2,1,1,3,2,4,3,4,0,4,3,3,2,88934782344194897182034055460499025958935759628216239034778519654937763266649947603081037728434443232025300741994697195902845117292217648624035568509490593533722113513520103874309614876665974775153153610,467.3075070102694
1,4,3,1,3,2,1,4,4,0,0,3,0,0,2,0,2,4,0,2,0,3,2,3,1,3,0,2,1,3,4,4,3,2,0,2,0,3,4,0,3,2,4,3,1,0,2,3,0,0,11836341560931221879932903204794207788546502487927855567284670906653543216846528588013823634790384350685775942780316933986251282809636837790208603049042638331519380207250,389.30547021492214
2,2,3,4,3,0,4,3,2,0,4,2,2,1,2,3,4,1,2,2,4,2,0,3,3,2,4,2,3,0,1,0,0,4,3,4,0,0,4,1,1,2,4,1,3,4,0,3,0,1,2139842707859651363759045356729793938766453714544481417800306586588917534128430453908837737370141860796768480878953358641492910767431458561127454910698634745338078555500629502936871174500,429.0415596222248
3,2,0,1,3,0,0,4,4,3,0,1,2,2,2,2,4,2,3,0,4,2,1,1,1,0,0,0,1,2,2,1,2,2,2,3,1,2,4,2,1,0,1,1,4,4,1,2,4,4,6930863782153940429515821853713957794539441182493823689516286911536501255548579304679999710447559660867205919761189717859928554875468526898872863203915752728694882542730936,395.67803535130565
3,3,2,0,4,4,1,3,3,3,3,4,0,4,3,3,3,2,2,0,1,1,0,4,1,2,2,1,1,2,1,1,3,4,0,0,0,1,1,1,1,3,4,1,1,4,3,0,3,1,71303046100787880279142548921036063708206636957841876187528030956212430197389958326156856334046715583643145357452606378517250485699488212776100528652472836229316059671800,391.10123467181853
2,4,3,0,4,1,0,2,4,1,4,2,0,3,1,1,2,3,3,2,0,2,4,0,0,0,4,1,4,4,1,3,2,4,3,3,4,0,3,2,1,0,2,0,2,1,2,2,1,4,74793549314412173416248803939210615874594808386455563220689537977800514080592683400163847086142873302668316371098833267371376048529191031524968019818891574905379101110385816849901500,418.78004838107773
2,1,2,0,3,3,4,1,0,4,4,4,0,4,0,0,4,2,3,3,1,4,1,3,4,2,0,0,0,0,1,1,1,1,2,0,0,3,0,0,0,1,2,3,0,3,4,4,4,2,33046098930895503333565359811005651092851882660014804060844718430175606310161932961358410362339066340518560469383419239885312448248897025089497825675553621428024700,376.51668858899257
3,1,3,1,2,3,1,0,1,4,1,3,2,2,4,1,4,4,3,4,2,0,4,0,0,3,3,3,4,4,3,1,4,3,4,2,2,2,0,0,4,1,2,4,0,1,2,2,0,4,427141096357732584280792891101472137168878968235298519029424560406040922666271577026965047818389716946366753366946164069382347463985276040740886118538861246643904470982743456468550808571397483775274463000,468.8767180868847
3,3,2,0,1,0,3,0,2,0,0,1,2,1,3,0,2,4,1,2,0,3,0,4,2,0,0,4,4,4,4,2,1,2,2,1,2,4,2,3,4,1,1,1,1,3,0,0,0,4,1783617471134412800990504921033568927877529068878124013861188854766323760705961034063265989176662695935613891677952634886689335265639842268341411068861639723772775800,380.50518393317384
4,1,3,1,2,0,0,0,1,4,1,1,4,3,1,0,2,4,0,0,1,2,4,1,0,0,1,3,2,3,1,4,1,4,4,2,0,2,2,1,1,2,2,4,2,1,4,1,3,2,344059076061045108466285748789441560903461792398032750365704384686836273568118420256371774580055260593190971444538318804198805742524723926511868976405050167508352071766000,392.6751089983643
2,2,0,1,0,3,1,3,4,1,1,2,3,3,4,4,2,0,1,4,1,4,4,0,0,0,4,3,4,4,4,2,4,0,3,0,2,0,0,4,1,4,2,4,3,3,1,0,1,0,38375518260344333311769431022763787932530747603701022208226615035487017044239426566333149539798241524330437941156701272379553848618415915288939141054623712229015793743853255565862820387594932,438.83600228684634
4,4,2,0,4,0,0,1,3,2,2,4,0,2,1,1,3,1,1,0,2,0,4,1,2,4,3,1,4,0,2,1,2,3,1,0,2,4,1,0,4,0,3,0,4,1,0,1,1,4,3214759922668698188340011062633665756866854140954606866359695811011417761198289082056664416075118771113683527083649411705444056550623620096602746100843310086800,367.27878246682354
2,1,1,3,2,4,1,2,1,0,1,0,0,2,3,1,0,3,3,2,0,0,2,1,2,2,3,4,1,3,0,3,1,1,2,2,1,0,0,4,4,4,3,1,4,0,1,1,4,3,14741221524752493178396493025886071314657950572275730602096527576756937082564002830410919147157170641865350835198933082951147672655318429995048238721336408761030175860,382.6171880987666
4,0,4,1,1,3,3,2,2,2,4,4,2,2,4,3,1,0,3,2,0,4,0,3,3,3,3,4,4,3,0,2,2,4,0,4,0,2,1,4,0,4,1,0,2,2,4,4,4,1,82005683149291200725961069744254016334837607196815960479421632430078508659593998995137051212690484335305362719567149933631034330626459290569452166732108083574122165196067332382745260213575680657585514757630000,481.0419028013288
1,4,2,3,3,0,4,1,4,4,3,1,0,1,3,3,1,3,1,3,3,3,1,1,3,4,0,4,4,3,4,1,4,4,4,1,2,2,2,0,3,0,4,2,4,1,2,1,3,4,81379361086448012798446919586036116916765113823958699247658533725621134897417844899829969547241623697679334200241324117854125383325930351074417383720592414816704731542568513566637689086460440072063794771273349952101950,501.75750177826677
3,2,1,4,2,1,2,3,4,1,1,3,2,1,1,3,1,2,0,3,0,2,3,0,3,4,4,2,1,3,3,0,2,3,0,0,4,1,3,2,0,2,4,2,3,2,3,1,0,3,1652978925309203803195399745423690977022035000161704849593383001756155664812884685959110860962537950440379432968351169730856178966780717459019572966422217457378165266609410225602520,414.9678958083266
3,4,0,2,1,4,1,1,2,2,3,4,0,3,3,0,1,4,4,4,3,3,2,4,1,2,2,0,4,2,0,3,3,3,2,2,1,4,4,2,4,4,4,2,4,3,4,2,1,3,1531190404767111518435016261738700741483832459972142053315770307529974212844643226812749739626439690772308436182430297936420278481143066920622466938291448794462097561479491542002185506806041401599103829287294098845698110474734374488,532.3232019568424
3,3,3,0,1,0,1,2,4,3,4,2,3,1,3,0,0,3,2,3,4,3,1,0,1,2,3,3,3,2,4,0,4,1,3,0,0,1,3,4,1,3,2,4,4,2,3,0,0,4,106560888662497104507075091638385057154830953871077283949779980251380539391829170218373518573836278173189828192823341030798000812374137858681976866472439166294113509453981984572441160964579961000,446.76505440116455
4,2,4,0,1,0,0,0,2,3,2,1,3,0,1,3,1,0,0,1,0,3,4,4,0,3,0,4,2,3,1,3,0,3,0,0,4,4,4,0,4,2,3,1,2,4,3,1,0,1,1053354783651868570413863064317879925248142559188100181484654978728595942822112385230461142755898614831047944086751564689423457009065455358352453756614672999042283830000,386.8862757259495
0,0,3,0,4,0,0,0,0,4,3,1,2,1,1,3,0,0,0,0,3,4,0,3,3,0,3,4,2,0,2,1,3,0,2,0,1,1,0,0,0,4,0,0,1,3,0,2,3,1,8202493655072323183562903274940640094247385562091345506160661768477746355774213247584812809784105691369904337191079402263177625,292.23015992956675
1,3,2,2,4,0,2,0,4,3,2,1,0,2,1,4,1,3,4,3,1,0,0,4,0,4,3,3,4,0,3,3,3,2,4,4,4,0,4,2,1,2,3,3,1,1,0,2,2,1,2270098142413270149248231617994036694625618789706973125753925996024014544389427223921759786422348039023486423769607514621745626653711711477934179239985696708918039359306977434330570258372742435550,449.82391619894094
4,2,4,3,0,1,3,4,4,0,1,0,3,0,3,4,2,0,1,0,3,3,3,3,0,2,3,2,0,0,2,4,4,3,2,4,4,3,0,3,1,3,1,3,1,4,4,4,0,4,1242169612818584124537815732697445515415197150371738208496463502455036824223914538985494690656894051809372402250005625635539523350180927171707256413282328332113785080367569380383904256196434359911919390000,469.94421850923874
1,0,4,3,1,3,4,4,0,3,3,4,4,3,3,4,3,0,1,0,4,4,3,3,0,1,3,1,1,2,2,1,4,2,1,3,0,0,3,2,2,3,3,4,4,4,4,0,2,4,3572046212472571148483255893204204728097621943274965123101180572380562926298977308878190381650429134083146071522764852619765674438229644574377265275221539075334758743084709390205870879280796049529690689669673823596250,498.6315186870668
4,2,4,2,0,0,0,3,4,2,4,3,3,3,1,2,1,2,4,1,4,3,4,2,2,0,4,4,4,4,0,3,0,2,0,3,4,1,0,3,4,0,3,0,0,4,3,4,2,0,1310354222303498432041387737291261542095535207763446298642671112165727709434973709675326679081311380235108162855497678845075630704835306806098217066946156929291215146213964613408410406438028124247670000,463.08990119117004
0,2,0,3,4,0,2,3,3,1,0,1,2,3,0,1,4,4,2,4,1,0,2,4,4,3,0,4,2,0,3,1,2,1,1,0,4,1,4,2,2,1,4,3,2,2,4,1,1,4,4021489082981528457332105884696538871776730698452306022022409119944819620938312653420744455599904141147370169711956742063986109110497268330749141429922587811092594981071727062052960857194380497,443.48799010755175
4,2,2,0,0,1,4,0,0,4,4,1,3,4,4,4,4,2,4,4,0,1,4,4,2,2,0,2,4,4,4,2,1,3,4,3,4,4,3,2,3,3,2,3,1,2,3,4,0,1,7262277554188271248855159897607395673181088560372858137931528226027818075809623259759852968293550267893995622772704288794245837631736297774463861179649856756996804585216660610712143244225920396811003695835794750310892762434691439171600,540.787605252944
1,2,1,1,1,3,4,2,1,3,4,1,0,4,0,0,3,1,0,4,0,2,2,0,2,1,2,4,0,4,2,2,2,3,4,0,3,3,4,1,3,0,4,1,1,2,2,1,3,0,1836335940215158715674325580104538611615659261963567672092332852324943442382411934893822483967911116024072185425739810691736098947314231438999922550715451508282206557050983030,401.2575784303979
3,2,3,4,0,3,0,3,4,1,2,1,0,2,1,3,1,2,3,3,2,4,3,3,4,4,3,4,3,0,0,3,0,3,4,3,4,0,4,0,3,3,0,2,4,0,3,3,0,1,905234433144652904209529093259081335687457551126162281128802895555974118098882747197104133050232644938218053160992262831116817075510609874530607297336371771049782364131057930901643821591724725531419000,462.72004236512413
